User_ID,Name,City,Birth_Date,Interests,Gender,Interest_Categories,max_prob,Profession,Latitude,Longitude,Birth_Year,Age
3251,Azeb Markos,Shilavo,1976-04-11,"['Performance Art', 'Low Technology', 'Museums']",Female,"['Arts & Creativity', 'Science & Technology', 'Cultural & Social Activities']",1,GIS Specialist,6.219636413605999,45.0874651826972,1976,48
3252,Keelloo Dhiinsaa,Adama,1963-10-20,"['DIY', 'Animation', 'Travel', 'Beekeeping', 'Festivals']",Female,"['Animals & Nature', 'Arts & Creativity', 'Cultural & Social Activities']",2,Human Rights Advocate,8.511014330814316,39.3314198423666,1963,61
3253,Naanaati Gudina,Adaba,2000-11-02,"['Electronics', 'Business', 'Tea Culture', 'Political Participation', 'Theatre', 'Environmental Action', 'Hiking']",Female,"['Animals & Nature', 'Arts & Creativity', 'Science & Technology', 'Business & Entrepreneurship', 'Cultural & Social Activities']",2,Food Processing Engineer,6.332722773198538,39.55883019382058,2000,24
3254,Naanaatii Naa’omi,Wendo Genet,1979-07-16,"['Languages', 'Snorkeling', 'Baking', 'Sculpting', 'Technology', 'Carpentry', 'Festivals']",Female,"['Animals & Nature', 'Arts & Creativity', 'Science & Technology', 'Cultural & Social Activities']",3,Government Economist,5.7692519794945385,38.13219340892224,1979,45
3255,Dorgee Dibaba,Dire Dawa,1976-10-15,"['Baking', 'Sailing', 'Reuse', 'DIY']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Cultural & Social Activities']",2,Digital Content Creator,9.937668872577529,41.69506181898951,1976,48
3256,Soolanee Teferri,Kemise,1963-07-10,"['Kite Flying', 'Carpentry', 'Calligraphy', 'Botany', 'Simple Living / Minimalism', 'Boxing', 'Hiking', 'Beekeeping']",Female,"['Animals & Nature', 'Arts & Creativity', 'Sports & Fitness']",3,Music Producer,10.803021542979486,40.15345630197472,1963,61
3257,Bulee-Bulii Gelaw,Tongo,1991-11-08,"['Kite Flying', 'Travel', 'Artificial Intelligence', 'Wildlife', 'Science', 'Birdwatching']",Female,"['Animals & Nature', 'Sports & Fitness', 'Science & Technology', 'Cultural & Social Activities']",2,Forestry Expert,7.366658100982099,34.5362830671067,1991,33
3258,Lelo Besufekad,Dangila,2006-07-03,"['Gardening', 'Hiking', 'Sailing', 'Boxing', 'Investing', 'Running', 'Swimming']",Female,"['Animals & Nature', 'Sports & Fitness', 'Business & Entrepreneurship']",4,Sports Coach,10.405315410019218,37.44433046516713,2006,18
3259,Waaqtolee Bal’aa,Labigah,1987-12-11,"['Museums', 'Film', 'Swimming', 'Track & Field', 'Musical Instruments', 'Low Technology', 'Maintenance & Repair', 'Animation']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Science & Technology', 'Cultural & Social Activities']",3,Digital Content Creator,6.165716565938904,44.13476463244275,1987,37
3260,Gaammadee Tadele,Mendeya,1975-04-13,"['User Experience', 'Origami', 'Kite Flying', 'Puzzles']",Female,"['Arts & Creativity', 'Sports & Fitness', 'Science & Technology', 'Games & Hobbies']",1,Graphic Designer,8.593645520215059,34.054096511777416,1975,49
3261,Almaz Nagaraa,Arba Minch,1980-11-26,"['Wine Tasting', 'Archery', 'Improv', 'Sculpting', 'Birdwatching', 'Animals', 'Climbing', 'Table Tennis']",Female,"['Animals & Nature', 'Arts & Creativity', 'Sports & Fitness', 'Games & Hobbies', 'Cultural & Social Activities']",3,Sports Coach,6.271569273472816,36.935589501298594,1980,44
